BSN	Schulname	Region	Schultraeger	Schulart	Schulzweig	PLZ	Strasse	Telefon	Fax	ORTSTEIL	Bauten	Fremdsprachen	spez_Angebote	Schulleitung	eMail	Internet	Ganztagsbetrieb	ZweiterBildungsweg	Grundschulteil	GymnasialeOberstufe	DualesLernen	BemerkungenSchulzweig		Leistungskurse	Schuljahr
01A01	1. Schulpraktisches Seminar (S) Mitte	Mitte	öffentlich	Schulpraktisches Seminar	Schulpraktisches Seminar	13353	Tegeler Str. 16	4677779710	4677779720	Wedding				Fr. Gewers	1.sps-mitte@gmx.de		 	0	0	0	 	 			2014/15  
01A02	2. Schulpraktisches Seminar (S) Mitte	Mitte	öffentlich	Schulpraktisches Seminar	Schulpraktisches Seminar	13353	Tegeler Str. 16	4677779710	4677779720	Wedding				Hr. Kraft	2.sps-mitte@gmx.de		 	0	0	0					2014/15  
01A03	3. Schulpraktisches Seminar (L) Mitte	Mitte	öffentlich	Schulpraktisches Seminar	Schulpraktisches Seminar	13353	Tegeler Str. 16	4677779710	4677779720	Wedding				Hr. Meister	spsmitte@web.de		 	0	0	0					2014/15  
01A04	Berlin-Kolleg	Mitte	öffentlich	Berlin-Kolleg	Berlin-Kolleg	10551	Turmstr. 75	901838210	901838222	Moabit	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch, Französisch, Latein, Spanisch	Lehrgänge zum Erwerb der allgemeinen Hochschulreife	Fr. Weiß	leitung@berlin-kolleg.de	http://www.berlin-kolleg.de	 	1	0	0		Besondere Fächer: Philosophie, Psychologie, Künstlerischer Schwerpunkt, Vorkurse vormittags, nachmittags, abends			2014/15  
01A06	4. Schulpraktisches Seminar (S) Mitte	Mitte	öffentlich	Schulpraktisches Seminar	Schulpraktisches Seminar	13353	Tegeler Str. 16	4677779713	4677779720	Wedding				N.N.			 	0	0	0	 	 			2014/15  
01B01	OSZ Banken und Versicherungen	Mitte	öffentlich	Oberstufenzentrum	Berufsschule	10557	Alt-Moabit 10	39884110	39884119	Moabit	rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Wirtschaft und Verwaltung	Hr. Ihnken	mail@osz-banken-versicherungen.de	http://www.osz-banken-versicherungen.de	 	0	0	0		für Banken u. Versicherungen			2014/15  
01B01	OSZ Banken und Versicherungen	Mitte	öffentlich	Oberstufenzentrum	Berufsfachschule	10557	Alt-Moabit 10	39884110	39884119	Moabit	rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Wirtschaft und Verwaltung	Hr. Ihnken	mail@osz-banken-versicherungen.de	http://www.osz-banken-versicherungen.de	 	0	0	0		Europäische Wirtschaftsfachschule (Finanzwirtschaft), mit MSA 			2014/15  
01B01	OSZ Banken und Versicherungen	Mitte	öffentlich	Oberstufenzentrum	Fachoberschule	10557	Alt-Moabit 10	39884110	39884119	Moabit	rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Wirtschaft und Verwaltung	Hr. Ihnken	mail@osz-banken-versicherungen.de	http://www.osz-banken-versicherungen.de	 	1	0	0		Vollzeit- , Abend- u. Teilzeitform			2014/15  
01B01	OSZ Banken und Versicherungen	Mitte	öffentlich	Oberstufenzentrum	Fachschule	10557	Alt-Moabit 10	39884110	39884119	Moabit	rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Wirtschaft und Verwaltung	Hr. Ihnken	mail@osz-banken-versicherungen.de	http://www.osz-banken-versicherungen.de	 	0	0	0		Europäische Wirtschaftsfachschule, Finanzdienstleistungen Abschluss: "staatlich geprüfter Betriebswirt"			2014/15  
01B01	OSZ Banken und Versicherungen	Mitte	öffentlich	Oberstufenzentrum	Berufliches Gymnasium	10557	Alt-Moabit 10	39884110	39884119	Moabit	rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	1. Fremdsprache Englisch, 2. Fremdsprache Französisch, 2. Fremdsprache Spanisch	Wirtschaft und Verwaltung	Hr. Ihnken	mail@osz-banken-versicherungen.de	http://www.osz-banken-versicherungen.de	 	0	0	0					2014/15  
01B02	Staatliche Technikerschule Berlin	Mitte	öffentlich	Fachschule	Fachschule	10555	Bochumer Str. 8B	3900060	39000682	Moabit	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Wirtschaft und Verwaltung, Metalltechnik, Elektrotechnik, Bautechnik, Chemie, Physik und Biologie	Hr. Platzek	info@technikerschule-berlin.de	http://www.technikerschule-berlin.de	 	0	0	0		Weiterbildung: Umweltschutz- und Biotechnik; Industrietechnologie; Wirtschaftinformatik; Informatik; Netzwerk-, Bau-, Heizung-, Klima-, Sanitär- und Maschinentechnik; Kommunikations- und Automatisierungstechnnik			2014/15  
01B03	OSZ Kommunikations-, Informations- und Medientechnik	Mitte	öffentlich	Oberstufenzentrum	Berufsschule	13359	Osloer Str. 23-26	493070	49307100	Gesundbrunnen	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Elektrotechnik	Hr. Held	verwaltung@oszkim.de	http://www.oszkim.de	 	0	0	0					2014/15  
01B03	OSZ Kommunikations-, Informations- und Medientechnik	Mitte	öffentlich	Oberstufenzentrum	Berufsfachschule	13359	Osloer Str. 23-26	493070	49307100	Gesundbrunnen	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Elektrotechnik	Hr. Held	verwaltung@oszkim.de	http://www.oszkim.de	 	0	0	0		(1- u. mehrjährig)			2014/15  
01B03	OSZ Kommunikations-, Informations- und Medientechnik	Mitte	öffentlich	Oberstufenzentrum	Fachoberschule	13359	Osloer Str. 23-26	493070	49307100	Gesundbrunnen	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Elektrotechnik	Hr. Held	verwaltung@oszkim.de	http://www.oszkim.de	 	0	0	0		für Technik (1- u. 2-jährig)			2014/15  
01B03	OSZ Kommunikations-, Informations- und Medientechnik	Mitte	öffentlich	Oberstufenzentrum	Berufliches Gymnasium	13359	Osloer Str. 23-26	493070	49307100	Gesundbrunnen	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	1. Fremdsprache Englisch, 2. Fremdsprache Französisch, 2. Fremdsprache Spanisch	Elektrotechnik	Hr. Held	verwaltung@oszkim.de	http://www.oszkim.de	 	0	0	0					2014/15  
01B03	OSZ Kommunikations-, Informations- und Medientechnik	Mitte	öffentlich	Oberstufenzentrum	Berufsoberschule	13359	Osloer Str. 23-26	493070	49307100	Gesundbrunnen	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Elektrotechnik	Hr. Held	verwaltung@oszkim.de	http://www.oszkim.de	 	0	0	0					2014/15  
01B04	OSZ Gesundheit I	Mitte	öffentlich	Oberstufenzentrum	Berufsschule	13349	Schwyzer Str. 6-8	4530800	45308077	Wedding	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch, Französisch	Gesundheit	Fr. Heringhaus	sekretariat@osz-gesundheit.de	http://www.osz-gesundheit.de	 	0	0	0		für Tier- u. Medizin Fachangestellte; Zahnmedizinische Fachangestellte; Pharmazeutisch kaufm. Angestellte;  Berufsvorb. Lehrgänge   			2014/15  
01B04	OSZ Gesundheit I	Mitte	öffentlich	Oberstufenzentrum	Berufsfachschule	13349	Schwyzer Str. 6-8	4530800	45308077	Wedding	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Gesundheit	Fr. Heringhaus	sekretariat@osz-gesundheit.de	http://www.osz-gesundheit.de	 	0	0	0		für Sekretär/in (2-jährig);  Fachrichrung: Gesundheit (1-jährig)			2014/15  
01B04	OSZ Gesundheit I	Mitte	öffentlich	Oberstufenzentrum	Berufsoberschule	13349	Schwyzer Str. 6-8	4530800	45308077	Wedding	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)		Gesundheit	Fr. Heringhaus	sekretariat@osz-gesundheit.de	http://www.osz-gesundheit.de	 	0	0	0	 	 			2014/15  
01B05	Staatliche Wirtschaftsfachschule für Hotellerie und Gastronomie Berlin	Mitte	öffentlich	Kombinierte berufliche Schule	Berufsfachschule	10117	Niederwallstr. 6-7	20613130	20613131	Mitte			Wirtschaft und Verwaltung	Hr. Reichl	info@hotelfachschule-berlin.de	http://www.hotelfachschule-berlin.de	 	0	0	0	 	 			2014/15  
01B05	Staatliche Wirtschaftsfachschule für Hotellerie und Gastronomie Berlin	Mitte	öffentlich	Kombinierte berufliche Schule	Fachschule	10117	Niederwallstr. 6-7	20613130	20613131	Mitte		Englisch, Französisch, Spanisch, Italienisch	Wirtschaft und Verwaltung	Hr. Reichl	info@hotelfachschule-berlin.de	http://www.hotelfachschule-berlin.de	 	0	0	0		für Betriebswirte, "Staatlich geprüfte/r Betriebswirt/in (Hotel- und Gaststättengewerbe)"			2014/15  
01E03	ETI Schauspielschule Berlin	Mitte	privat	Künstlerische Schule	Künstlerische Schule	10179	Rungestr. 20	27593109	27593110	Mitte			Staatlich anerkannte Ergänzungsschule, Ergänzungsschule	Hr. Oldiges	mail@eti-berlin.de	http://www.eti-schauspielschule-berlin.de	 	0	0	0		Ausbildung zum Schauspieler (3-jährig)			2014/15  
