"bsn",Parkplatz für Schwerbehinderte vorhanden,Rollstuhlgerechter Aufzug,Rollstuhlgerechtes WC,Zugänglich für Rollstuhlbenutzer,Beratungsstelle für Hörbehinderte,Beratungsstelle für Sprachbehinderte
"01A01",,,,,,
"01A02",,,,,,
"01A03",,,,,,
"01A04",1,1,1,1,,
"01B01",,1,1,1,,
"01B01",,1,1,1,,
"01B01",,1,1,1,,
"01B01",,1,1,1,,
"01B01",,1,1,1,,
"01B01",,1,1,1,,
"01B02",1,1,1,1,,
"01B03",1,1,1,1,,
"01B03",1,1,1,1,,
"01B03",1,1,1,1,,
"01B03",1,1,1,1,,
"01B03",1,1,1,1,,
"01B04",1,1,1,1,,
"01B04",1,1,1,1,,
"01B04",1,1,1,1,,
"01B05",,,,,,
"01B05",,,,,,
"01E03",,,,,,
"01E08",,,,,,
"01E10",,,,,,
"01E12",,,,,,
"01E13",,,,,,
"01E16",,,,,,
"01E18",,,,,,
"01E20",,,,,,
"01E21",,,,,,
"01E25",,,,,,
"01E26",,,,,,
"01E27",,,,,,
"01E28",,,,,,
"01E29",,,,,,
"01E30",,,,,,
"01E31",,,,,,
"01E32",,,,,,
"01G01",,,,,,
"01G02",,,,,,
"01G04",,,,,,
"01G05",,,,,,
"01G07",,,,,,
"01G08",1,1,1,1,,
"01G10",,,,,,
"01G11",,,1,1,,
"01G15",1,1,1,1,,
"01G16",,,,,,
"01G18",,,,,,
"01G19",,,,1,,
"01G24",,,,,,
"01G25",,,,,,
"01G27",1,1,1,1,,
"01G28",,1,,1,,
"01G29",,,,,,
"01G31",,1,1,1,,
"01G32",,,,,,
"01G35",,1,1,1,,
"01G36",,,,,,
"01G37",,1,1,1,,
"01G38",,,,,,
"01G39",,,,,,
"01G40",,,,,,
"01G41",1,,,,,
"01G42",,,,,,
"01G43",,,,,,
"01G44",1,1,1,1,,
"01G45",1,,,,,
"01G46",,,,,,
"01G47",,,,,,
"01K01",,,,,,
"01K02",,,,,,
"01K03",,1,,,,
"01K04",,,,,,
"01K06",,,,,,
"01K07",,,,,,
"01K08",,,,,,
"01K08",,,,,,
"01K08",,,,,,
"01K09",,,,,,
"01K10",,,,,,
"01P01",,,,,,
"01P03",,1,1,1,,
"01P04",1,,,,,
"01P05",,,,,,
"01P06",1,1,1,1,,
"01P07",,,,,,
"01P07",,,,,,
"01P07",,,,,,
"01P11",,1,,,,
"01P13",,,,,,
"01P14",,,,,,
"01P14",,,,,,
"01P14",,,,,,
"01P16",,,,,,
"01P17",,,,,,
"01P17",,,,,,
"01P17",,,,,,
"01P18",,1,1,,,
"01P18",,1,1,,,
"01P22",,,,,,
"01P22",,,,,,
"01P23",,,,,,
"01P24",,,,,,
"01P24",,,,,,
"01P25",,,,,,
"01P33",,,,,,
"01P34",,,,,,
"01P36",,,,,,
"01P36",,,,,,
"01P37",,,,,,
"01P38",,,,,,
"01P39",,,,,,
"01P39",,,,,,
"01P40",,,,,,
"01P42",,,,,,
"01P43",,,,,,
"01P44",,,,,,
"01P45",,,,,,
"01P46",,,,,,
"01S01",,,,,,1
"01S05",,1,1,1,,
"01S06",,,,,,1
"01S07",,,,,,
"01Y02",,,,,,
"01Y04",,,,,,
"01Y07",,,,1,,
"01Y08",,,,,,
"01Y09",,1,,1,,
"01Y11",,,,,,
"01Y12",,,,,,
"02A01",,,,,,
"02A02",,,,,,
"02A03",1,,1,,,
"02A04",1,,1,,,
"02A05",1,,1,,,
"02A06",1,,1,,,
"02A07",,,,,,
"02A08",,,,,,
"02B01",,,,,,
"02B01",,,,,,
"02B01",,,,,,
"02B02",,,,,,
"02B02",,,,,,
"02B02",,,,,,
"02B03",,1,1,1,,
"02B03",,1,1,1,,
"02B03",,1,1,1,,
"02B04",1,1,,1,,
"02B04",1,1,,1,,
"02B04",1,1,,1,,
"02B04",1,1,,1,,
"02B04",1,1,,1,,
"02B04",1,1,,1,,
"02B05",,,,,,
"02B05",,,,,,
"02B05",,,,,,
"02B05",,,,,,
"02B05",,,,,,
"02E01",,,,,,
"02E03",,,,,,
"02E04",,,,,,
"02E05",1,1,1,1,,
"02E06",,,,,,
"02E07",,,,,,
"02E10",,,,,,
"02E11",,,,,,
"02E12",,,,,,
"02E14",,,,,,
"02E15",,,,,,
"02E17",,,,,,
"02E18",,,,,,
"02E20",,,,,,
"02E21",,,,,,
"02E23",,,,,,
"02E24",,,,,,
"02E26",,,,,,
"02E27",,,,,,
"02E28",,,,,,
"02E29",,,,,,
"02E30",,,,,,
"02E32",,,,,,
"02E33",,,,,,
"02E34",,,,,,
"02E35",,,,,,
"02E36",,,,,,
"02E37",,,,,,
"02E38",,,,,,
"02E39",,,,,,
"02G01",,,,,,
"02G02",,,,,,
"02G03",,,,,,
"02G04",,,,,,
"02G05",,,,,,
"02G07",,,,,,
"02G08",,,,,,
"02G09",,,,,,
"02G10",,,,,,
"02G11",1,1,1,1,,
"02G12",,,,1,,
"02G13",,1,1,1,,
"02G14",,,,,,
"02G15",1,,,,,
"02G16",,1,,,,
"02G18",,,,,,
"02G19",1,1,1,1,,
"02G20",1,1,1,1,,
"02G21",,,,1,,
"02G22",1,1,1,1,,
"02G23",,,,,,
"02G24",,,,1,,
"02G26",,,,1,,
"02G27",1,1,,,,
"02G29",,1,1,1,,
"02G31",1,,,,,
"02G32",,,,,,
"02G33",1,1,1,1,,
"02G34",,,,,,
"02G35",,,,,,
"02K01",,,1,,,
"02K02",1,1,1,1,,
"02K03",,,,,,
"02K04",1,,,,,
"02K05",,,1,1,,
"02K06",,,,,,
"02K07",,,,,,
"02K08",,1,1,1,,
"02K09",,,1,1,,
"02K10",,,,,,
"02P02",,1,1,1,,
"02P02",,1,1,1,,
"02P03",,,,,,
"02P04",1,1,1,1,,
"02P05",1,1,1,1,,
"02P05",1,1,1,1,,
"02P07",,,,,,
"02P07",,,,,,
"02P08",1,1,1,1,,
"02P09",,,,,,
"02P10",1,1,1,1,,
"02P11",,,,,,
"02P12",,,,,,
"02P13",,,,,,
"02P14",,,,,,
"02P16",,,,,,
"02P18",,,,,,
"02P19",,,,,,
"02P20",,,,,,
"02P22",,,,,,
"02P23",,,,,,
"02P25",,,,,,
"02P26",,,,,,
"02P27",,,,,,
"02P28",,,,,,
"02S01",,,,,,
"02S01",,,,,,
"02S01",,,,,,
"02S02",,1,1,1,,
"02S03",,1,1,1,1,
"02S04",,,,,,1
"02S05",,1,1,,,
"02S06",,1,1,1,,
"02Y01",,,,,,
"02Y03",,,,,,
"02Y04",,,,,,
"02Y05",,,,,,
"02Y06",,,,1,,
"02Y07",,,,,,
"02Y08",,,,,,
"03A04",,,,,,
"03A05",,,,,,
"03B02",1,1,1,1,,
"03B02",1,1,1,1,,
"03B02",1,1,1,1,,
"03B03",1,1,1,1,,
"03B03",1,1,1,1,,
"03B03",1,1,1,1,,
"03B03",1,1,1,1,,
"03B04",1,1,1,1,,
"03B04",1,1,1,1,,
"03B04",1,1,1,1,,
"03B04",1,1,1,1,,
"03B04",1,1,1,1,,
"03B06",,,,,,
"03B06",,,,,,
"03B07",1,1,1,1,,
"03B07",1,1,1,1,,
"03B07",1,1,1,1,,
"03B07",1,1,1,1,,
"03B07",1,1,1,1,,
"03B08",,,1,,,
"03B08",,,1,,,
"03B08",,,1,,,
"03B09",1,,1,1,,
"03B09",1,,1,1,,
"03B09",1,,1,1,,
"03B09",1,,1,1,,
"03B09",1,,1,1,,
"03E03",,,,,,
"03E04",,,,,,
"03E07",,,,,,
"03E08",,,,,,
"03E10",,,,,,
"03E11",,,,,,
"03E12",,,,,,
"03E14",,,,,,
"03E15",,,,,,
"03E16",,,,,,
"03E17",,,,,,
"03E18",,,,,,
"03E19",,,,,,
"03E20",,,,,,
"03G01",1,,,,,
"03G02",,,,,,
"03G03",,,,,,
"03G04",1,1,1,1,,
"03G05",,,,,,
"03G06",,,1,1,,
"03G08",,,,,,
"03G09",,,,,,
"03G10",,1,1,1,,
"03G11",,,,,,
"03G12",,,,1,,
"03G13",,,,,,
"03G14",,,,,,
"03G15",,,1,1,,
"03G16",,,,,,
"03G17",,,,,,
"03G18",,1,1,1,,
"03G20",,,,,,
"03G21",1,,,,,
"03G22",1,,1,1,,
"03G23",,,1,1,,
"03G24",1,1,1,1,,
"03G25",,,,,,
"03G26",1,,,,,
"03G27",,,,,,
"03G28",,,,,,
"03G29",,,1,,,
"03G32",,,,,,
"03G33",1,,,,,
"03G34",1,,,1,,
"03G35",,,,,,
"03G36",,,,,,
"03G37",,,,,,
"03G38",,,,,,
"03G39",,,,,,
"03G40",1,1,1,1,,
"03G41",,,,,,
"03G43",,,,,,
"03G44",,,,,,
"03G45",,,,,,
"03G46",,,,,,
"03G47",,,,,,
"03K01",,1,1,1,,
"03K02",,,1,,,
"03K03",,,,,,
"03K04",,,,,,
"03K04",,,,,,
"03K04",,,,,,
"03K05",1,1,1,1,,
"03K06",,,,,,
"03K07",,,,,,
"03K08",,,,,,
"03K09",,,,,,
"03K10",1,,1,,,
"03K11",,,,,,
"03P02",,,,,,
"03P03",,,,,,
"03P03",,,,,,
"03P04",1,1,,1,,
"03P04",1,1,,1,,
"03P08",,,,,,
"03P08",,,,,,
"03P08",,,,,,
"03P10",1,1,1,1,,
"03P11",1,1,1,1,,
"03P12",,,,,,
"03P13",,,,,,
"03P14",,,1,,,
"03P15",1,1,,1,,
"03P17",,,,,,
"03P18",,,,,,
"03P20",,,,,,
"03P21",,,1,,,
"03P22",,,,,,
"03P23",,,,,,
"03P24",,,,,,
"03P26",,,,,,
"03P27",1,1,,1,,
"03P28",,,,,,
"03P28",,,,,,
"03P29",,,,,,
"03P29",,,,,,
"03P30",,,,,,
"03P31",,,,,,
"03P32",,,,,,
"03P33",,,,,,
"03P34",,,,,,
"03S01",,,1,1,,
"03S03",1,1,1,1,,
"03S06",1,1,1,1,,
"03S07",,,,,,
"03S08",,,1,1,,
"03S09",,1,1,,,1
"03S10",1,1,1,1,,
"03Y03",,,,,,
"03Y04",,1,1,1,,
"03Y08",,1,1,1,,
"03Y10",,,,,,
"03Y13",,,,,,
"03Y14",,,,,,
"03Y15",,,,,,
"03Y16",,,,,,
"04A01",,,,,,
"04A02",,,,,,
"04A03",,,,,,
"04A04",,1,1,,,
"04A06",,1,1,,,
"04A07",,,,,,
"04A08",,1,,1,,
"04A09",,,,,,
"04B01",,,,,,
"04B01",,,,,,
"04B02",,1,1,1,,
"04B02",,1,1,1,,
"04B02",,1,1,1,,
"04B02",,1,1,1,,
"04B03",,1,1,1,,
"04B03",,1,1,1,,
"04B03",,1,1,1,,
"04B03",,1,1,1,,
"04B04",,,1,,,
"04B04",,,1,,,
"04B04",,,1,,,
"04B05",,,1,1,,
"04B05",,,1,1,,
"04B05",,,1,1,,
"04B05",,,1,1,,
"04B05",,,1,1,,
"04B06",,1,1,1,,
"04B06",,1,1,1,,
"04B06",,1,1,1,,
"04B07",1,1,1,1,,
"04B07",1,1,1,1,,
"04B07",1,1,1,1,,
"04B08",,1,1,1,,
"04B08",,1,1,1,,
"04E01",,,,,,
"04E02",,,,,,
"04E03",,,,,,
"04E04",,,,,,
"04E05",,,,,,
"04E07",,,,,,
"04E09",,,,,,
"04E10",,,,,,
"04E12",,,,,,
"04E13",,,,,,
"04E14",,,,,,
"04E15",,,,,,
"04E17",,,,,,
"04E20",,,,,,
"04E21",,,,,,
"04E22",,,,,,
"04E24",,,,,,
"04E25",,,,,,
"04E27",,,,,,
"04E28",,,,,,
"04E30",,,,,,
"04E31",,,,,,
"04E32",,,,,,
"04E33",,,,,,
"04E34",,,,,,
"04E36",,,,,,
"04E38",,,,,,
"04E40",,,,,,
"04E41",,,,,,
"04E42",,,,,,
"04E43",,,,,,
"04E44",,,,,,
"04E45",,,,,,
"04E46",,,,,,
"04E47",,,,,,
"04E48",,,,,,
"04E50",,,,,,
"04E51",,,,,,
"04E52",,,,,,
"04G01",,,,,,
"04G02",,,,,,
"04G04",,,,,,
"04G05",,,,1,,
"04G06",,,,,,
"04G07",,,,,,
"04G08",,,,1,,
"04G09",1,,1,1,,
"04G11",1,,1,1,,
"04G12",,,,,,
"04G13",,1,1,1,,
"04G14",,,,,,
"04G15",1,,,,,
"04G17",,,,,,
"04G18",,,,,,
"04G19",1,1,1,1,,
"04G20",,,,,,
"04G21",,,,,,
"04G22",,,,,,
"04G23",,,,,,
"04G24",,,,,,
"04G25",,,,,,
"04G26",,,1,,,
"04G27",,,,,,
"04K02",,1,1,1,,
"04K03",,1,1,1,,
"04K04",,,,,,
"04K05",,1,1,,,
"04K06",,,,,,
"04K07",,,,,,
"04K08",1,1,1,1,,
"04K08",1,1,1,1,,
"04K08",1,1,1,1,,
"04P01",,,,,,
"04P02",,,,,,
"04P03",,1,1,1,,
"04P04",1,,1,1,,
"04P05",1,,,,,
"04P07",1,1,1,1,,
"04P07",1,1,1,1,,
"04P08",,,,,,
"04P09",,,1,1,,
"04P10",,,,,,
"04P11",,,,,,
"04P12",,,,,,
"04P15",,,,,,
"04P18",,,1,,,
"04P20",,1,1,1,,
"04P20",,1,1,1,,
"04P20",,1,1,1,,
"04P21",,,,,,
"04P22",,,,,,
"04P23",,,,,,
"04P23",,,,,,
"04P24",,,,,,
"04P25",,,,,,
"04P25",,,,,,
"04P27",,,,,,
"04P34",,,,,,
"04P35",,,1,1,,
"04P36",,,,,,
"04P37",,,,,,
"04S01",1,1,1,1,,
"04S01",1,1,1,1,,
"04S02",,1,1,1,,
"04S03",,,,,,1
"04S04",,,,,1,
"04S05",,,,,,
"04S05",,,,,,
"04S05",,,,,,
"04S06",1,1,1,1,,
"04S07",,,,,,
"04S07",,,,,,
"04S07",,,,,,
"04Y01",,,,,,
"04Y02",,,,,,
"04Y03",,,,,,
"04Y04",,,,,,
"04Y05",,,,,,
"04Y06",,,,,,
"04Y07",,,,,,
"04Y08",,,,,,
"04Y09",,,,,,
"04Y10",1,1,1,1,,
"04Y11",,,,,,
"05A01",,,,,,
"05A02",,,,,,
"05A03",,,,,,
"05A04",,,,,,
"05B01",,1,1,1,,
"05B01",,1,1,1,,
"05B01",,1,1,1,,
"05B01",,1,1,1,,
"05B01",,1,1,1,,
"05B02",1,1,1,1,,
"05B02",1,1,1,1,,
"05B02",1,1,1,1,,
"05B02",1,1,1,1,,
"05B02",1,1,1,1,,
"05E01",,,,,,
"05E02",,,,,,
"05E03",,,,,,
"05G01",,,1,1,,1
"05G02",1,,,1,,
"05G03",,,,,,
"05G04",,1,1,,,
"05G05",,,1,,,
"05G06",1,1,1,1,,
"05G07",,,,,,
"05G08",,,,,,
"05G09",,,,,,
"05G10",,,,,,
"05G11",1,1,1,1,,
"05G12",,,,,,
"05G13",,,,1,,
"05G14",1,,1,1,,
"05G15",1,,1,,,
"05G16",,,,,,
"05G17",,,,1,,
"05G18",1,,,1,,
"05G19",1,1,1,1,,
"05G20",1,,1,1,,
"05G21",,,,,,
"05G22",,,1,1,,
"05G23",,,,,,
"05G24",1,,,1,,
"05G25",1,1,1,1,,
"05G26",,1,1,1,,
"05G27",,1,1,1,,
"05G28",1,1,1,1,,
"05G29",1,1,1,1,,
"05K01",1,,,1,,
"05K02",,1,,1,,
"05K03",1,1,1,,,
"05K04",,,1,1,,
"05K05",,,,,,
"05K06",,,,,,
"05K07",,1,1,1,,
"05K08",1,,1,1,,
"05K09",,1,1,1,,
"05P01",,,,1,,
"05P02",,,,,,
"05P03",,,,,,
"05P04",1,,1,1,,
"05P04",1,,1,1,,
"05P05",1,,,,,
"05P06",,1,1,1,,
"05P08",,,,,,
"05P10",,,,,,
"05P10",,,,,,
"05P13",,,,,,
"05P13",,,,,,
"05P15",,,,1,,
"05P16",,,,,,
"05P17",,,,,,
"05P18",,,,,,
"05P19",,,,,,
"05P20",,,,,,
"05S01",,,,,,
"05S02",,,,,,
"05S03",1,1,1,1,,
"05S04",1,1,1,1,,
"05Y01",,,,,,
"05Y02",,,1,1,,
"05Y03",1,1,1,1,,
"05Y04",1,,,1,,
"05Y05",,,,,,
"06A01",1,,,,,
"06A02",,,,,,
"06A03",,,,,,
"06A04",1,1,1,1,,
"06A05",1,1,1,1,,
"06A06",,,,,,
"06A07",1,1,1,1,,
"06A08",,,,,,
"06A09",,,,,,
"06B01",1,1,1,1,,
"06B01",1,1,1,1,,
"06B01",1,1,1,1,,
