"bsn","district","address_id","latitude","longitude","street","plz","district_id"
"01E10","Mitte","20","52.5525","13.36152","Groninger Str. 25","13347","10"
"01E12","Mitte","21","52.521522","13.4098649","Panoramastr. 1","10178","10"
"01E13","Mitte","22","52.52599","13.40484","Weinmeisterstr. 16","10178","10"
"01P04","Mitte","22","52.52599","13.40484","Weinmeisterstr. 16","10178","10"
"01E16","Mitte","23","52.5090503","13.3897175","Friedrichstr. 200","10117","10"
"01E18","Mitte","24","52.5121824","13.4199374","Rungestr. 18","10179","10"
"01E20","Mitte","25","52.5121658","13.3830179","Wilhelmstr. 88","10117","10"
"01E21","Mitte","26","52.5107363","13.4065068","Wallstr. 15A","10179","10"
"01E25","Mitte","27","52.5100797","13.4016712","Beuthstr. 8","10117","10"
"01P39","Mitte","27","52.5100797","13.4016712","Beuthstr. 8","10117","10"
"01E26","Mitte","28","52.51978","13.38965","Friedrichstr. 95","10117","10"
"01E27","Mitte","29","52.52798","13.31894","Wiebestr. 46","10553","10"
"01E28","Mitte","30","52.5093253","13.3880071","Mauerstr. 77","10117","10"
"01E29","Mitte","31","52.5113602","13.3909322","Kronenstr. 55","10117","10"
"01E30","Mitte","32","52.5013928","13.3565812","Kurfürstenstr. 53","10785","10"
"01E31","Mitte","33","52.50202","13.36934","Lützowstr. 105 ","10785","10"
"01E32","Mitte","34","52.52998","13.36409","Lehrter Str. 17","10557","10"
"01G01","Mitte","35","52.53684","13.40039","Ruppiner Str. 47-48","10115","10"
"01G02","Mitte","36","52.532833","13.3910483","Bergstr. 58","10115","10"
"01G04","Mitte","37","52.52678","13.4018","Gipsstr. 23A","10119","10"
"01G05","Mitte","38","52.52759","13.38033","Hannoversche Str. 20","10115","10"
"01G07","Mitte","39","52.5163654","13.4241201","Singerstr. 8","10179","10"
"01G08","Mitte","40","52.5131795","13.38276","Wilhelmstr. 52","10117","10"
"01P34","Mitte","40","52.5131795","13.38276","Wilhelmstr. 52","10117","10"
"01G10","Mitte","41","52.50737","13.40892","Sebastianstr. 57","10179","10"
"01G11","Mitte","42","52.53006","13.353115","Rathenower Str. 18","10559","10"
"01G15","Mitte","43","52.51827","13.35527","Paulstr. 20B","10557","10"
"01G16","Mitte","44","52.5219744","13.35657","Paulstr. 28","10557","10"
"01G18","Mitte","45","52.5288941","13.3318065","Waldenserstr. 20-21","10551","10"
"01G19","Mitte","46","52.5214","13.34019","Lessingstr. 5","10555","10"
"01G24","Mitte","47","52.55719","13.35717","Ungarnstr. 75","13349","10"
"01G25","Mitte","48","52.55158","13.39611","Ellerbeker Str. 7-8","13357","10"
"01G27","Mitte","49","52.55338","13.38292","Prinzenallee 8","13357","10"
"01G28","Mitte","50","52.54146","13.35783","Tegeler Str. 18-19","13353","10"
"01G29","Mitte","51","52.55775","13.38365","Gotenburger Str. 8","13359","10"
"01G31","Mitte","52","52.5462055","13.362468","Antonstr. 10","13347","10"
"01G32","Mitte","53","52.56107","13.38284","Zechliner Str. 4","13359","10"
"01G35","Mitte","54","52.5416558","13.3777972","Grenzstr. 7","13355","10"
"01G36","Mitte","55","52.56553","13.38891","Kattegatstr. 26","13359","10"
"01G37","Mitte","56","52.54695","13.39407","Ramlerstr. 9-10","13355","10"
"01G38","Mitte","57","52.53795","13.39162","Strelitzer Str. 42","13355","10"
"01G39","Mitte","58","52.54222","13.3969","Demminer Str. 27","13355","10"
"01G40","Mitte","59","52.55575","13.33375","Afrikanische Str. 123-125","13351","10"
"01G41","Mitte","60","52.55099","13.35786","Utrechter Str. 25-27","13347","10"
"01G42","Mitte","61","52.5503747","13.3418855","Guineastr. 17-18","13351","10"
"01G43","Mitte","62","52.5492336","13.3732605","Orthstr. 1","13357","10"
"01S06","Mitte","62","52.5492336","13.3732605","Orthstr. 1","13357","10"
"01G44","Mitte","63","52.5035806","13.3629577","Lützowstr. 83-85","10785","10"
"01G45","Mitte","64","52.5446286","13.3618199","Müllerstr. 158","13353","10"
