Schuljahr,bsn,Text,Personal_M,Personal_W
2012/13,01A04,Lehrkräfte,28,52
2012/13,01B01,Lehrkräfte,51,59
2012/13,01B01,Studienreferendare und Lehramtsanwärter,2,6
2012/13,01B02,Lehrkräfte,62,27
2012/13,01B03,Lehrkräfte,53,34
2012/13,01B03,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,01B03,Studienreferendare und Lehramtsanwärter,4,1
2012/13,01B04,Lehrkräfte,36,52
2012/13,01B04,Studienreferendare und Lehramtsanwärter,0,2
2012/13,01B05,Lehrkräfte,12,12
2012/13,01G01,Erzieher(innen),2,19
2012/13,01G01,Lehrkräfte,3,30
2012/13,01G01,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01G02,Erzieher(innen),0,12
2012/13,01G02,Lehrkräfte,6,24
2012/13,01G02,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01G04,Lehrkräfte,2,23
2012/13,01G05,Lehrkräfte,7,29
2012/13,01G07,Erzieher(innen),0,8
2012/13,01G07,Lehrkräfte,3,25
2012/13,01G07,Studienreferendare und Lehramtsanwärter,0,3
2012/13,01G08,Lehrkräfte,6,30
2012/13,01G10,Erzieher(innen),0,16
2012/13,01G10,Lehrkräfte,3,23
2012/13,01G11,Erzieher(innen),0,10
2012/13,01G11,Lehrkräfte,8,37
2012/13,01G15,Lehrkräfte,4,20
2012/13,01G15,Päd. Mitarbeiter(innen) / Unterrichtshilfen,1,0
2012/13,01G15,Studienreferendare und Lehramtsanwärter,0,2
2012/13,01G16,Erzieher(innen),4,18
2012/13,01G16,Lehrkräfte,4,26
2012/13,01G18,Erzieher(innen),5,24
2012/13,01G18,Lehrkräfte,5,24
2012/13,01G18,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01G19,Erzieher(innen),1,10
2012/13,01G19,Lehrkräfte,4,17
2012/13,01G19,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01G24,Erzieher(innen),0,6
2012/13,01G24,Lehrkräfte,6,33
2012/13,01G25,Erzieher(innen),0,12
2012/13,01G25,Lehrkräfte,10,26
2012/13,01G25,Studienreferendare und Lehramtsanwärter,1,2
2012/13,01G27,Erzieher(innen),0,2
2012/13,01G27,Lehrkräfte,13,30
2012/13,01G27,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01G28,Erzieher(innen),3,14
2012/13,01G28,Lehrkräfte,4,35
2012/13,01G28,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,01G28,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01G29,Erzieher(innen),2,10
2012/13,01G29,Lehrkräfte,4,36
2012/13,01G29,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01G31,Erzieher(innen),0,16
2012/13,01G31,Lehrkräfte,6,36
2012/13,01G31,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01G32,Erzieher(innen),0,5
2012/13,01G32,Lehrkräfte,6,29
2012/13,01G32,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01G35,Erzieher(innen),0,13
2012/13,01G35,Lehrkräfte,9,26
2012/13,01G35,Studienreferendare und Lehramtsanwärter,0,2
2012/13,01G36,Erzieher(innen),0,10
2012/13,01G36,Lehrkräfte,4,25
2012/13,01G36,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01G37,Erzieher(innen),0,12
2012/13,01G37,Lehrkräfte,12,30
2012/13,01G37,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01G38,Erzieher(innen),1,20
2012/13,01G38,Lehrkräfte,4,23
2012/13,01G39,Erzieher(innen),2,13
2012/13,01G39,Lehrkräfte,8,29
2012/13,01G39,Studienreferendare und Lehramtsanwärter,0,2
2012/13,01G40,Erzieher(innen),1,27
2012/13,01G40,Lehrkräfte,6,34
2012/13,01G41,Erzieher(innen),0,6
2012/13,01G41,Lehrkräfte,10,43
2012/13,01G41,Studienreferendare und Lehramtsanwärter,0,2
2012/13,01G42,Lehrkräfte,10,43
2012/13,01G43,Erzieher(innen),0,3
2012/13,01G43,Lehrkräfte,4,22
2012/13,01G44,Erzieher(innen),0,8
2012/13,01G44,Lehrkräfte,3,35
2012/13,01G44,Studienreferendare und Lehramtsanwärter,0,2
2012/13,01G45,Lehrkräfte,11,44
2012/13,01G45,Studienreferendare und Lehramtsanwärter,0,3
2012/13,01G46,Lehrkräfte,3,21
2012/13,01G46,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01G47,Erzieher(innen),0,3
2012/13,01G47,Lehrkräfte,7,28
2012/13,01G47,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01K01,Erzieher(innen),0,2
2012/13,01K01,Lehrkräfte,17,39
2012/13,01K01,Päd. Mitarbeiter(innen) / Unterrichtshilfen,1,1
2012/13,01K01,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01K02,Erzieher(innen),0,1
2012/13,01K02,Lehrkräfte,17,38
2012/13,01K02,Päd. Mitarbeiter(innen) / Unterrichtshilfen,1,0
2012/13,01K02,Studienreferendare und Lehramtsanwärter,1,3
2012/13,01K03,Erzieher(innen),2,6
2012/13,01K03,Lehrkräfte,39,59
2012/13,01K03,Päd. Mitarbeiter(innen) / Unterrichtshilfen,1,0
2012/13,01K03,Studienreferendare und Lehramtsanwärter,3,4
2012/13,01K04,Lehrkräfte,13,28
2012/13,01K04,Studienreferendare und Lehramtsanwärter,0,2
2012/13,01K05,Lehrkräfte,15,55
2012/13,01K05,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,2
2012/13,01K05,Studienreferendare und Lehramtsanwärter,0,2
2012/13,01K06,Lehrkräfte,17,44
2012/13,01K06,Studienreferendare und Lehramtsanwärter,1,2
2012/13,01K07,Lehrkräfte,19,29
2012/13,01K07,Studienreferendare und Lehramtsanwärter,0,2
2012/13,01K08,Lehrkräfte,26,53
2012/13,01K08,Studienreferendare und Lehramtsanwärter,0,2
2012/13,01K09,Lehrkräfte,18,31
2012/13,01K09,Studienreferendare und Lehramtsanwärter,1,1
2012/13,01S01,Lehrkräfte,5,17
2012/13,01S01,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,01S01,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01S03,Lehrkräfte,6,19
2012/13,01S03,Studienreferendare und Lehramtsanwärter,1,0
2012/13,01S05,Lehrkräfte,10,53
2012/13,01S06,Erzieher(innen),1,8
2012/13,01S06,Lehrkräfte,7,27
2012/13,01S06,Studienreferendare und Lehramtsanwärter,0,1
2012/13,01S07,Lehrkräfte,2,12
2012/13,01S07,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,14
2012/13,01S07,Studienreferendare und Lehramtsanwärter,1,2
2012/13,01Y02,Lehrkräfte,33,35
2012/13,01Y02,Studienreferendare und Lehramtsanwärter,3,6
2012/13,01Y04,Erzieher(innen),0,2
2012/13,01Y04,Lehrkräfte,8,8
2012/13,01Y04,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,01Y04,Studienreferendare und Lehramtsanwärter,1,1
2012/13,01Y07,Lehrkräfte,17,39
2012/13,01Y08,Lehrkräfte,34,42
2012/13,01Y08,Studienreferendare und Lehramtsanwärter,2,6
2012/13,01Y09,Lehrkräfte,24,29
2012/13,01Y09,Studienreferendare und Lehramtsanwärter,3,4
2012/13,01Y10,Lehrkräfte,17,15
2012/13,01Y10,Päd. Mitarbeiter(innen) / Unterrichtshilfen,1,0
2012/13,01Y11,Lehrkräfte,23,37
2012/13,01Y11,Studienreferendare und Lehramtsanwärter,2,6
2012/13,01Y12,Lehrkräfte,30,77
2012/13,01Y12,Studienreferendare und Lehramtsanwärter,2,6
2012/13,02B01,Lehrkräfte,24,37
2012/13,02B01,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,02B01,Studienreferendare und Lehramtsanwärter,1,1
