,Schulname,Region,Schultraeger,Schulart,Schulzweig,PLZ,Strasse,Telefon,Fax,ORTSTEIL,Bauten,Fremdsprachen,spez_Angebote,Ganztagsbetrieb,Schulleitung,eMail,Internet,ZweiterBildungsweg,Grundschulteil,GymnasialeOberstufe,Ausstattung,AGs,ausserschulischePartner,Differenzierung,Mittagessen,BemerkungenSchulzweig,Kooperationen,Leistungskurse,DualesLernen,Schuljahr
01A01,1. Schulpraktisches Seminar (S) Mitte,Mitte,öffentlich,Schulpraktisches Seminar,Schulpraktisches Seminar,13353,Tegeler Str. 16,4677779710,4677779720,Wedding,,,,,Fr. Gewers,1.sps-mitte@gmx.de,,0,0,0,,,,,,,,,,2013/14
01A02,2. Schulpraktisches Seminar (S) Mitte,Mitte,öffentlich,Schulpraktisches Seminar,Schulpraktisches Seminar,13353,Tegeler Str. 16,4677779710,4677779720,Wedding,,,,,Hr. Kraft,2.sps-mitte@gmx.de,,0,0,0,,,,,,,,,,2013/14
01A03,3. Schulpraktisches Seminar (L) Mitte,Mitte,öffentlich,Schulpraktisches Seminar,Schulpraktisches Seminar,13353,Tegeler Str. 16,4677779710,4677779720,Wedding,,,,,Hr. Meister,spsmitte@web.de,,0,0,0,,,,,,,,,,2013/14
01A04,Berlin-Kolleg,Mitte,öffentlich,Berlin-Kolleg,Berlin-Kolleg,10551,Turmstr. 75,901838210,901838222,Moabit,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)","Englisch, Französisch, Latein, Spanisch",Lehrgänge zum Erwerb der allgemeinen Hochschulreife,,Fr. Weiß,leitung@berlin-kolleg.de,http://www.berlin-kolleg.de,1,0,0,,,,,,"Besondere Fächer: Philosophie, Psychologie, Künstlerischer Schwerpunkt, Vorkurse vormittags, nachmittags, abends",,,,2013/14
01B01,OSZ Banken und Versicherungen,Mitte,öffentlich,Oberstufenzentrum,Berufsschule,10557,Alt-Moabit 10,39884110,39884119,Moabit,"rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",Englisch,Wirtschaft und Verwaltung,,Hr. Ihnken,mail@osz-banken-versicherungen.de,http://www.osz-banken-versicherungen.de,0,0,0,,,,,,für Banken u. Versicherungen,,,,2013/14
01B01,OSZ Banken und Versicherungen,Mitte,öffentlich,Oberstufenzentrum,Berufsfachschule,10557,Alt-Moabit 10,39884110,39884119,Moabit,"rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",Englisch,Wirtschaft und Verwaltung,,Hr. Ihnken,mail@osz-banken-versicherungen.de,http://www.osz-banken-versicherungen.de,0,0,0,,,,,,"Europäische Wirtschaftsfachschule (Finanzwirtschaft), mit MSA",,,,2013/14
01B01,OSZ Banken und Versicherungen,Mitte,öffentlich,Oberstufenzentrum,Fachoberschule,10557,Alt-Moabit 10,39884110,39884119,Moabit,"rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",Englisch,Wirtschaft und Verwaltung,,Hr. Ihnken,mail@osz-banken-versicherungen.de,http://www.osz-banken-versicherungen.de,1,0,0,,,,,,"Vollzeit- , Abend- u. Teilzeitform",,,,2013/14
01B01,OSZ Banken und Versicherungen,Mitte,öffentlich,Oberstufenzentrum,Fachschule,10557,Alt-Moabit 10,39884110,39884119,Moabit,"rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",Englisch,Wirtschaft und Verwaltung,,Hr. Ihnken,mail@osz-banken-versicherungen.de,http://www.osz-banken-versicherungen.de,0,0,0,,,,,,"Europäische Wirtschaftsfachschule, Finanzdienstleistungen Abschluss: ""staatlich geprüfter Betriebswirt""",,,,2013/14
01B01,OSZ Banken und Versicherungen,Mitte,öffentlich,Oberstufenzentrum,Berufliches Gymnasium,10557,Alt-Moabit 10,39884110,39884119,Moabit,"rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)","1. Fremdsprache Englisch, 2. Fremdsprache Französisch, 2. Fremdsprache Spanisch",Wirtschaft und Verwaltung,,Hr. Ihnken,mail@osz-banken-versicherungen.de,http://www.osz-banken-versicherungen.de,0,0,0,,,,,,,,,,2013/14
01B01,OSZ Banken und Versicherungen,Mitte,öffentlich,Oberstufenzentrum,Berufsoberschule,10557,Alt-Moabit 10,39884110,39884119,Moabit,"rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",Englisch,Wirtschaft und Verwaltung,,Hr. Ihnken,mail@osz-banken-versicherungen.de,http://www.osz-banken-versicherungen.de,0,0,0,,,,,,für Wirtschaft mit abgeschl. Berufsausbildung,,,,2013/14
