bsn,Jahrgangsstufe,Klassenart,K,S,SM,SW,N,NM,NW,H,HM,HW
01G01,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,6,158,58,100,11,4,7,37,18,19
01G01,Jahrgangsstufe 03,Klasse der Staatlichen Europaschule,1,26,12,14,13,7,6,24,10,14
01G01,Jahrgangsstufe 04,Klasse der Staatlichen Europaschule,1,24,10,14,5,1,4,20,10,10
01G01,Jahrgangsstufe 04,Regelklasse,2,50,31,19,2,1,1,12,7,5
01G01,Jahrgangsstufe 05,Klasse der Staatlichen Europaschule,1,20,8,12,2,1,1,18,8,10
01G01,Jahrgangsstufe 05,Regelklasse,2,48,20,28,4,1,3,13,6,7
01G01,Jahrgangsstufe 06,Klasse der Staatlichen Europaschule,1,20,8,12,9,3,6,16,5,11
01G01,Jahrgangsstufe 06,Regelklasse,2,39,16,23,11,5,6,16,8,8
01G01,Schulanfangsphase,Klasse der Staatlichen Europaschule,2,54,27,27,14,9,5,47,27,20
01G02,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,6,156,82,74,29,13,16,29,13,16
01G02,Jahrgangsstufe 03,Regelklasse,1,25,13,12,8,3,5,8,3,5
01G02,Jahrgangsstufe 04,Regelklasse,3,74,36,38,16,9,7,16,9,7
01G02,Jahrgangsstufe 05,Regelklasse,2,47,24,23,10,4,6,10,4,6
01G02,Jahrgangsstufe 06,Regelklasse,2,49,20,29,15,7,8,15,7,8
01G02,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,1,26,17,9,3,3,0,3,3,0
01G04,Jahrgangsstufe 03,Regelklasse,3,66,37,29,12,5,7,34,19,15
01G04,Jahrgangsstufe 04,Regelklasse,3,70,40,30,9,5,4,22,13,9
01G04,Jahrgangsstufe 05,Regelklasse,2,46,24,22,7,3,4,19,9,10
01G04,Jahrgangsstufe 06,Regelklasse,3,60,32,28,6,3,3,34,17,17
01G04,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,145,79,66,19,9,10,53,26,27
01G05,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,3,55,24,31,10,4,6,19,7,12
01G05,Jahrgangsstufe 03,Klasse der Staatlichen Europaschule,6,146,70,76,66,28,38,103,49,54
01G05,Jahrgangsstufe 04,Klasse der Staatlichen Europaschule,2,38,12,26,25,8,17,25,10,15
01G05,Jahrgangsstufe 04,Regelklasse,1,21,7,14,7,5,2,14,7,7
01G05,Jahrgangsstufe 05,Klasse der Staatlichen Europaschule,2,40,23,17,31,17,14,32,17,15
01G05,Jahrgangsstufe 05,Regelklasse,1,18,10,8,8,5,3,11,7,4
01G05,Jahrgangsstufe 06,Klasse der Staatlichen Europaschule,2,33,18,15,22,15,7,22,12,10
01G05,Jahrgangsstufe 06,Regelklasse,1,22,8,14,7,3,4,8,4,4
01G07,Jahrgangsstufe 03,Regelklasse,2,53,24,29,18,8,10,41,16,25
01G07,Jahrgangsstufe 04,Regelklasse,3,64,28,36,17,6,11,51,22,29
01G07,Jahrgangsstufe 05,Regelklasse,2,51,29,22,21,11,10,34,19,15
01G07,Jahrgangsstufe 06,Regelklasse,3,69,31,38,22,9,13,55,25,30
01G07,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,141,79,62,48,25,23,113,65,48
01G08,Jahrgangsstufe 03,Klasse der Staatlichen Europaschule,2,45,20,25,15,5,10,34,13,21
01G08,Jahrgangsstufe 03,Regelklasse,2,34,20,14,6,3,3,22,12,10
01G08,Jahrgangsstufe 04,Klasse der Staatlichen Europaschule,2,41,19,22,9,5,4,37,16,21
01G08,Jahrgangsstufe 04,Regelklasse,2,44,21,23,9,6,3,37,20,17
01G08,Jahrgangsstufe 05,Klasse der Staatlichen Europaschule,1,20,11,9,8,3,5,8,3,5
01G08,Jahrgangsstufe 05,Regelklasse,2,36,17,19,10,5,5,29,15,14
01G08,Jahrgangsstufe 06,Klasse der Staatlichen Europaschule,1,20,8,12,8,2,6,15,7,8
01G08,Jahrgangsstufe 06,Regelklasse,2,41,24,17,13,9,4,24,14,10
01G08,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,4,104,51,53,37,17,20,75,35,40
01G08,Schulanfangsphase,Klasse der Staatlichen Europaschule,4,83,42,41,18,8,10,72,33,39
01G10,Jahrgangsstufe 03,Regelklasse,3,70,28,42,11,7,4,49,17,32
01G10,Jahrgangsstufe 04,Regelklasse,3,57,26,31,6,4,2,36,14,22
01G10,Jahrgangsstufe 05,Regelklasse,3,61,35,26,9,5,4,44,25,19
01G10,Jahrgangsstufe 06,Regelklasse,3,50,29,21,9,5,4,38,21,17
01G10,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,6,144,70,74,9,4,5,95,41,54
01G11,Jahrgangsstufe 03,Regelklasse,4,78,33,45,14,6,8,62,26,36
01G11,Jahrgangsstufe 04,Regelklasse,4,79,38,41,13,2,11,63,30,33
01G11,Jahrgangsstufe 05,Regelklasse,4,85,41,44,9,4,5,68,33,35
01G11,Jahrgangsstufe 06,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,12,9,3,11,8,3,12,9,3
01G11,Jahrgangsstufe 06,Regelklasse,4,81,40,41,21,9,12,60,28,32
01G11,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,9,201,109,92,44,21,23,166,82,84
01G15,Jahrgangsstufe 03,Regelklasse,2,55,24,31,7,2,5,36,18,18
01G15,Jahrgangsstufe 04,Regelklasse,3,66,36,30,5,3,2,42,20,22
01G15,Jahrgangsstufe 05,Regelklasse,3,68,28,40,6,1,5,54,24,30
01G15,Jahrgangsstufe 06,Regelklasse,3,62,30,32,11,9,2,47,26,21
01G15,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,4,102,41,61,14,7,7,74,29,45
01G16,Jahrgangsstufe 03,Regelklasse,4,86,38,48,13,8,5,51,26,25
01G16,Jahrgangsstufe 04,Regelklasse,4,81,51,30,12,8,4,47,28,19
01G16,Jahrgangsstufe 05,Regelklasse,3,71,36,35,6,5,1,44,28,16
01G16,Jahrgangsstufe 06,Regelklasse,3,57,23,34,11,3,8,35,14,21
01G16,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,8,191,98,93,19,7,12,104,54,50
